"Organisation","Full Name","Post Title","Office Tel"
"Fire Services Department","Mr. LI Kin Yat, Daryl, FSDSM","Director of Fire Services","2733 7711,2739 0989"
"Fire Services Department","Mr. LEUNG Wai Hung, Joseph, FSDSM","Dep Director of Fire Services","2733 7722,2723 3244"
""
"Organisation","Service Name","Office Tel"
"Fire Services Department","Enquiry","2723 8787"
""
"Organisation","Department","Full Name","Post Title","Office Tel"
"Fire Services Department","Administration Division,Personnel Registry","Miss HUI Kit Ling, Carmen","CO (Leave &amp; Computer)","2733 7510"
"Fire Services Department","Administration Division,Personnel Registry","Miss CHAN Wai Ping, Clara","CO (Medical Board &amp; Employee's Compensation)","2733 7644"
"Fire Services Department","Administration Division,Staff Relations & Committees Registry","","",""
"Fire Services Department","Fire Services Department,Ambulance Command","Mr. CHAN Shiu Kwan","Assistant Director (Ambulance)","2272 9191"
"Fire Services Department","Fire Services Department,Ambulance Command","Mr. SHUM Kwok Leung","Dep Ch Ambulance Offr","2272 9192"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Ms. TSANG Man Ha","Sr Asst Ch Ambulance Offr (HQ)","2272 9193"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Mr. NG Ling Jim","Asst Ch Ambulance Offr (HQ)","2272 9194"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Mr. WONG Ying Keung","Supt (Staff)","2272 9199"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Mr. LEUNG Tak Yiu","Supt (RM)","2272 9188"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Ms. CHEUNG Kapo","Supt (FM)","2117 6588"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Mr. HO Chi Chung","Sr Ambulance Offr (Staff)1","2272 9197"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Mr. FUNG Yu Key","Sr Ambulance Offr (Staff)2","2272 9198"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Mr. CHOU Wing Yin","Sr Amblance Offr (CR)","2272 9174"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Mr. TSE Chi Hang","Sr Ambulance Offr (RM)1","2272 9187"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Mr. TSUI Ming Yin","Sr Ambulance Offr (RM)2","2272 9185"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Mr. WU Chun","Sr Ambulance Offr (FM)1","2117 6589"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Mr. LEE Yat Shing","Sr Ambulance Offr (FM)2","2117 6587"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Miss MAK Jasmine","EO(Amb)","2272 9164"
"Fire Services Department","Ambulance Command,Ambulance Command Headquarters","Ms. YUNG Yuen Yee, Livia","SCO","2272 9189"
"Fire Services Department","Ambulance Command,Hong Kong & Kowloon Region","Mr. LO Shun Tong","Sr Asst Ch Ambulance Offr (Hong Kong &amp; Kowloon Region)","2770 7706"
"Fire Services Department","Hong Kong & Kowloon Region,Hong Kong  East Sub-division","Mr. CHAN Wai Kuen","Asst Ch Ambulance Offr (Hong Kong)","2885 1101"
"Fire Services Department","Hong Kong & Kowloon Region,Hong Kong  East Sub-division","Mr. CHIM Pak Lam","Superintendent (Ambulance) (Hong Kong East)","2569 3550"
"Fire Services Department","Hong Kong & Kowloon Region,Hong Kong  East Sub-division","Mr. AU Chun Bong","Depot Commander Sai Wan Ho Ambulance Depot","2569 7627"
"Fire Services Department","Hong Kong & Kowloon Region,Hong Kong  East Sub-division","Mr. WONG Ka Chun","Depot Commander Braemar Hill Ambulance Depot","2571 5293"
"Fire Services Department","Hong Kong & Kowloon Region,Hong Kong  East Sub-division","Mr. TAM Ngo Yin","Depot Commander Morrison Hill Ambulance Depot","2893 5592"
"Fire Services Department","Hong Kong & Kowloon Region,Hong Kong  East Sub-division","Mr. YUEN Ho Cheung","Station Commander Chai Wan Ambulance Station","2556 6490"
"Fire Services Department","Hong Kong & Kowloon Region,Hong Kong West Sub-division","Mr. CHAN Wai Kuen","Asst Ch Ambulance Offr (Hong Kong)","2885 1101"
"Fire Services Department","Hong Kong & Kowloon Region,Hong Kong West Sub-division","Ms. LEUNG Yuk Wah","Superintendent (Ambulance) (Hong Kong West)","2875 5110"
"Fire Services Department","Hong Kong & Kowloon Region,Hong Kong West Sub-division","Ms. LI Yan Yee","Depot Commander Aberdeen Ambulance Depot","2541 6644"
"Fire Services Department","Hong Kong & Kowloon Region,Hong Kong West Sub-division","Mr. LAM Cheuk Ho","Depot Commander Pok Fu Lam Ambulance Depot","2551 6000"
"Fire Services Department","Hong Kong & Kowloon Region,Hong Kong West Sub-division","Mr. LAM Ho Cheung","Depot Commander Mount Davis Ambulance Depot","2819 7967"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon East Sub-division","Mr. LEUNG Kwok Lai","Asst Ch Ambulance Offr (Kowloon East)","2778 5708"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon East Sub-division","Mr. TANG Kin Tai","Superintendent (Ambulance) (Kowloon East)","2323 9973"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon East Sub-division","Mr. LAI Pok Man","Depot Commander Wong Tai Sin Ambulance Depot","2323 9949"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon East Sub-division","Mr. YEUNG Pui Hoi","Depot Commander Ngau Tau Kok Ambulance Depot","2750 1710"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon East Sub-division","Mr. CHONG Kai Man","Depot Commander Po Lam &amp; Tai Chik Sha Ambulance Depot","2701 0955"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon East Sub-division","Mr. AU Siu Ming","Depot Commander Lam Tin Ambulance Depot","2952 3861"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon East Sub-division","Mr. LEUNG Wing Shun","Depot Commander Kowloon Tong Ambulance Depot","3793 6499"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon West Sub-division","Ms. LEE Shui Ching","Asst Ch Ambulance Offr (Kowloon West)","2770 7155"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon West Sub-division","Ms. PUN Kok Ching","Superintendent (Ambulance) (Kowloon West)","2770 8144"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon West Sub-division","Mr. TONG Sze Ho","Depot Commander Mong Kok Ambulance Depot","2117 6570"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon West Sub-division","Ms. NG Yuen Kiu, Yuki","Depot Commander Tsim Tung Ambulance Depot","2311 5111"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon West Sub-division","Mr. CHAN Yin Tai","Depot Commander Ho Man Tin Ambulance Depot","2624 6110"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon West Sub-division","Ms. FUNG San Yen, Sunny","Depot Commander Yau Ma Tei Ambulance Depot","2770 2547"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon West Sub-division","Mr. LAU Kam Kay","Depot Commander Pak Tin Ambulance Depot","2776 7803"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon West Sub-division","Mr. CHAN Hiu Fat","Depot Commander Cheung Sha Wan Ambulance Depot","2708 1573"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon West Sub-division","Mr. WONG Po Lung","Depot Commander Lai Chi Kok Ambulance Depot","2959 1857"
"Fire Services Department","Hong Kong & Kowloon Region,Kowloon West Sub-division","Mr. CHUNG Wai Wo","Depot Commander Ma Tau Chung Ambulance Depot","2714 3746"
"Fire Services Department","Ambulance Command,New Territories Region","Mr. YEUNG Sai Shun, Paul, FSMSM","Sr Asst Ch Ambulance Offr (New Territories Region)","2417 5788"
"Fire Services Department","New Territories Region,New Territories North East Sub-division","Mr. CHAN Hing Yu","Asst Ch Ambulance Offr (New Territories North)","2651 8396"
"Fire Services Department","New Territories Region,New Territories North East Sub-division","Ms. NG Yuen Yan","Superintendent (Ambulance) (New Territories North East)","2694 8601"
"Fire Services Department","New Territories Region,New Territories North East Sub-division","Mr. CHENG Tak Shing","Depot Commander Tai Po Ambulance Depot","2658 0359"
"Fire Services Department","New Territories Region,New Territories North East Sub-division","Mr. LEUNG Yip","Depot Commander Fanling Ambulance Depot","2669 2250"
"Fire Services Department","New Territories Region,New Territories North East Sub-division","Mr. LAU Chi Yeung","Depot Commander Tin Shui Wai Ambulance Depot","2445 0033"
"Fire Services Department","New Territories Region,New Territories North East Sub-division","Mr. WONG Wing Chi","Depot Commander Lau Fau Shan Ambulance Depot","2446 2892"
"Fire Services Department","New Territories Region,New Territories North East Sub-division","Mr. KAM Hok Lai","Depot Commander Sheung Shui Ambulance Depot","2671 1271"
"Fire Services Department","New Territories Region,New Territories North West Sub-division","Mr. CHAN Hing Yu","Asst Ch Ambulance Offr (New Territories North)","2651 8396"
"Fire Services Department","New Territories Region,New Territories North West Sub-division","Mr. WONG Ming Sum","Superintendent (Ambulance) (New Territories North West) (Ag)","2430 9137"
"Fire Services Department","New Territories Region,New Territories North West Sub-division","Mr. HUI Sze Choi","Depot Commander Castle Peak Bay &amp; Sham Tseng Ambulance Depot (Ag)","2451 7170"
"Fire Services Department","New Territories Region,New Territories North West Sub-division","Mr. CHENG Tsz Wing","Depot Commander Yuen Long Ambulance Depot","2474 6845"
"Fire Services Department","New Territories Region,New Territories North West Sub-division","Mr. CHAN Howin","Depot Commander Tuen Mun Ambulance Depot","2463 2125"
"Fire Services Department","New Territories Region,New Territories South East Sub-division","Ms. YU Fung Kuen","Asst Ch Ambulance Offr (New Territories South) (Ag)","2417 5784"
"Fire Services Department","New Territories Region,New Territories South East Sub-division","Mr. TONG King Man","Superintendent (Ambulance) (New Territories South East)","2607 0817"
"Fire Services Department","New Territories Region,New Territories South East Sub-division","Mr. YEUNG Keung Sang","Depot Commander Tin Sum Ambulance Depot","2681 0713"
"Fire Services Department","New Territories Region,New Territories South East Sub-division","Mr. CHAN Wai Chun","Depot Commander Sha Tin Ambulance Depot","2691 2514"
"Fire Services Department","New Territories Region,New Territories South East Sub-division","Mr. CHEUNG Lok Yin","Depot Commander Ma On Shan Ambulance Depot","2640 3619"
"Fire Services Department","New Territories Region,New Territories South East Sub-division","Mr. SHUM Ka Yam","Depot Commander Lei Muk Shue Ambulance Depot","2487 1957"
"Fire Services Department","New Territories Region,New Territories South West Sub-division","Ms. YU Fung Kuen","Asst Ch Ambulance Offr (New Territories South) (Ag)","2417 5784"
"Fire Services Department","New Territories Region,New Territories South West Sub-division","Mr. NG Wai Kong","Superintendent (Ambulance) (New Territories South West)","2417 5789"
"Fire Services Department","New Territories Region,New Territories South West Sub-division","Mr. YUEN Ka Wai","Depot Commander Kwai Chung Ambulance Depot","2417 5750"
"Fire Services Department","New Territories Region,New Territories South West Sub-division","Mr. WONG Sui Ki","Depot Commander Tsuen Wan Ambulance Depot","2416 2751"
"Fire Services Department","New Territories Region,New Territories South West Sub-division","Mr. LI Ho Kei","Depot Commander Tsing Yi &amp; Penny's Bay Ambulance Depot","2495 5080"
"Fire Services Department","New Territories Region,New Territories South West Sub-division","Mr. LEUNG Wai Ho","Depot Commander Tung Chung Ambulance Depot","2988 8282"
"Fire Services Department","New Territories Region,New Territories South West Sub-division","Mr. YIP Ho Yin, Chris","Depot Commander Hong Kong-Zhuhai-Macao Bridge Ambulance Depot","2516 0205"
"Fire Services Department","Fire Services Department,Fire Safety Command","Mr. TSANG Wing Hung, Terrance","Assistant Director (Fire Safety)","2170 9595"
"Fire Services Department","Fire Services Department,Fire Safety Command","Mr. CHAN Kam Fai","Dep Ch Fire Offr (Fire Safety)","2170 9696"
"Fire Services Department","Fire Services Department,Fire Safety Command","Mr. WONG Chi Man","Fire Staff Offr (Fire Safety)","2170 9699"
"Fire Services Department","Fire Safety Command,Administration","Mr. LI Pui Tong, Paul","EO (Fire Safety)","2170 9688"
"Fire Services Department","Fire Safety Command,Administration","Ms. CHAN Mei Fong","CO (Fire Safety)1","2170 9664"
"Fire Services Department","Fire Safety Command,Administration","Ms. LEE Choi Ha","CO (Fire Safety)2","2170 9663"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)1","Mr. LAU Wai Kwong","Sr Div Offr (Building Improvement)1 (Ag)","2807 9199"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)1","Mr. AU Kwok Ping","Div Offr (Building Improvement)1","2807 9122"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)1","Mr. MOK Wai Chi","Asst Div Offr (Building Improvement)1","2807 9133"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)1","Mr. LIU Wai Sum","Asst Div Offr (Building Improvement)1","2807 9128"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)1","Mr. TANG King Kum","Asst Div Offr (Building Improvement)1","2535 3303"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)1","Mr. MAN Ka Cheung","Asst Div Offr (Building Improvement)1","2807 9180"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)1","Mr. FAN Kai Yip","Engr (Building Improvement)1","2807 9118"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)1","Mr. CHAN Kam Man","Prin Tech Offr (Building Improvement)1","2807 9166"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)1","Mr. LAU Man Chun","Sr Bldg Services Insp (Building Improvement)1","2807 9198"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)2","Mr. LAU Kwok Fu","Sr Div Offr (Building Improvement)2","2272 9177"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)2","Mr. SUN Ka Hing","Div Offr (Building Improvement)2","2272 9178"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)2","Mr. TANG Kai Ming","Asst Div Offr (Building Improvement)2","2272 9168"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)2","Mr. CHUM Tai Kong","Asst Div Offr (Building Improvement)2","2272 9133"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)2","Mr. CHOW Wai Yip","Asst Div Offr (Building Improvement)2","2272 9118"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)2","Mr. WU Wai Hung","Asst Div Offr (Building Improvement)2","2272 9138"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)2","Mr. LO Chi Hung","BSE (Building Improvement)2","2117 6501"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)2","Mr. TANG Choi Chin","Ch Tech Offr (Building Improvement)2","2117 6516"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)2","Mr. FOK Wai Lam","Prin Tech Offr (Building Improvement)2","2117 6514"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)2","Mr. YIM Chi Wai","Prin Tech Offr (Building Improvement)2","2117 6503"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)2","Mr. WONG Kam Wa","Sr Bldg Services Insp (Builing Improvement)2","2117 6502"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)3","Mr. HOI Wai Ming","Sr Div Offr (Building Improvement)3","2170 9625"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)3","Mr. TANG Wing Wah","Div Offr (Building Improvement)3","2170 9179"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)3","Mr. WONG Chun Keung","Asst Div Offr (Building Improvement)3","2170 9622"
"Fire Services Department","Fire Safety Command,Building Improvement (BI)3","Mr. CHAN Man Cheung","Asst Div Offr (Building Improvement)3","2170 9623"
"Fire Services Department","Building Improvement (BI)3,Complaint Section / Special Enforcement Unit","Mr. CHOW Kwong Yu","Asst Div Offr (CS/SEU)","2272 9176"
"Fire Services Department","Building Improvement (BI)3,Complaint Section / Special Enforcement Unit","Mr. CHUNG Chi Kong","Asst Div Offr (CS)","2117 6559"
"Fire Services Department","Fire Safety Command,Loan Scheme Supporting Team","Mr. LI Pui Tong, Paul","EO (Fire Safety)","2170 9688"
"Fire Services Department","Fire Safety Command,Loan Scheme Supporting Team","Mr. WAN Shun Leung, Vincent","Ch Executive Offr (Headquarters Services)","2733 7804"
"Fire Services Department","Fire Safety Command,New Projects Division (NP)","Mr. CHAN Chi Shing","Sr Div Offr (New Projects)","2733 7666"
"Fire Services Department","Fire Safety Command,New Projects Division (NP)","Mr. LEE Kin Chung","Div Offr (New Projects)1","2733 7574"
"Fire Services Department","Fire Safety Command,New Projects Division (NP)","Mr. LAM Shun Wa, Adam","Div Offr (New Projects)2","2733 5831"
"Fire Services Department","Fire Safety Command,New Projects Division (NP)","Mr. LEUNG Ming Ho","Asst Div Offr (New Projects)11","2733 1568"
"Fire Services Department","Fire Safety Command,New Projects Division (NP)","Mr. TANG Wai Kwong","Asst Div Offr (New Projects)12","2733 7854"
